stock,date,price
AMZN,2002-08-05,0.644
AMZN,2002-08-06,0.687
AMZN,2002-08-07,0.68
AMZN,2002-08-08,0.695
AMZN,2002-08-09,0.713
AMZN,2002-08-12,0.723
AMZN,2002-08-13,0.697
AMZN,2002-08-14,0.696
AMZN,2002-08-15,0.731
AMZN,2002-08-16,0.745
AMZN,2002-08-19,0.775
AMZN,2002-08-20,0.796
AMZN,2002-08-21,0.769
AMZN,2002-08-22,0.787
AMZN,2002-08-23,0.759
AMZN,2002-08-26,0.746
AMZN,2002-08-27,0.726
AMZN,2002-08-28,0.729
AMZN,2002-08-29,0.759
AMZN,2002-08-30,0.747
AMZN,2002-09-03,0.73
AMZN,2002-09-04,0.742
AMZN,2002-09-05,0.713
AMZN,2002-09-06,0.766
AMZN,2002-09-09,0.826
AMZN,2002-09-10,0.856
AMZN,2002-09-11,0.855
AMZN,2002-09-12,0.838
AMZN,2002-09-13,0.831
AMZN,2002-09-16,0.836
AMZN,2002-09-17,0.868
AMZN,2002-09-18,0.887
AMZN,2002-09-19,0.861
AMZN,2002-09-20,0.793
AMZN,2002-09-23,0.803
AMZN,2002-09-24,0.797
AMZN,2002-09-25,0.787
AMZN,2002-09-26,0.857
AMZN,2002-09-27,0.851
AMZN,2002-09-30,0.797
AMZN,2002-10-01,0.847
AMZN,2002-10-02,0.851
AMZN,2002-10-03,0.838
AMZN,2002-10-04,0.828
AMZN,2002-10-07,0.832
AMZN,2002-10-08,0.847
AMZN,2002-10-09,0.843
AMZN,2002-10-10,0.898
AMZN,2002-10-11,0.923
AMZN,2002-10-14,0.96
AMZN,2002-10-15,0.947
AMZN,2002-10-16,0.974
AMZN,2002-10-17,0.937
AMZN,2002-10-18,0.952
AMZN,2002-10-21,0.963
AMZN,2002-10-22,0.969
AMZN,2002-10-23,0.988
AMZN,2002-10-24,0.993
AMZN,2002-10-25,0.965
AMZN,2002-10-28,0.93
AMZN,2002-10-29,0.929
AMZN,2002-10-30,0.954
AMZN,2002-10-31,0.968
AMZN,2002-11-01,0.99
AMZN,2002-11-04,0.939
AMZN,2002-11-05,0.936
AMZN,2002-11-06,0.967
AMZN,2002-11-07,0.956
AMZN,2002-11-08,0.976
AMZN,2002-11-11,0.95
AMZN,2002-11-12,0.991
AMZN,2002-11-13,1.021
AMZN,2002-11-14,1.061
AMZN,2002-11-15,1.111
AMZN,2002-11-18,1.121
AMZN,2002-11-19,1.065
AMZN,2002-11-20,1.145
AMZN,2002-11-21,1.17
AMZN,2002-11-22,1.2
AMZN,2002-11-25,1.213
AMZN,2002-11-26,1.17
AMZN,2002-11-27,1.204
AMZN,2002-11-29,1.168
AMZN,2002-12-02,1.206
AMZN,2002-12-03,1.187
AMZN,2002-12-04,1.17
AMZN,2002-12-05,1.129
AMZN,2002-12-06,1.131
AMZN,2002-12-09,1.084
AMZN,2002-12-10,1.093
AMZN,2002-12-11,1.107
AMZN,2002-12-12,1.115
AMZN,2002-12-13,1.109
AMZN,2002-12-16,1.126
AMZN,2002-12-17,1.123
AMZN,2002-12-18,1.105
AMZN,2002-12-19,1.085
AMZN,2002-12-20,1.097
AMZN,2002-12-23,1.112
AMZN,2002-12-24,1.094
AMZN,2002-12-26,1.015
AMZN,2002-12-27,0.943
AMZN,2002-12-30,0.963
AMZN,2002-12-31,0.945
AMZN,2003-01-02,0.979
AMZN,2003-01-03,1.026
AMZN,2003-01-06,1.035
AMZN,2003-01-07,1.078
AMZN,2003-01-08,1.051
AMZN,2003-01-09,1.073
AMZN,2003-01-10,1.066
AMZN,2003-01-13,1.102
AMZN,2003-01-14,1.137
AMZN,2003-01-15,1.114
AMZN,2003-01-16,1.09
AMZN,2003-01-17,1.07
AMZN,2003-01-21,1.054
AMZN,2003-01-22,1.059
AMZN,2003-01-23,1.09
AMZN,2003-01-24,1.106
AMZN,2003-01-27,1.089
AMZN,2003-01-28,1.081
AMZN,2003-01-29,1.104
AMZN,2003-01-30,1.091
AMZN,2003-01-31,1.093
AMZN,2003-02-03,1.108
AMZN,2003-02-04,1.103
AMZN,2003-02-05,1.109
AMZN,2003-02-06,1.105
AMZN,2003-02-07,1.072
AMZN,2003-02-10,1.07
AMZN,2003-02-11,1.039
AMZN,2003-02-12,1.057
AMZN,2003-02-13,1.003
AMZN,2003-02-14,1.003
AMZN,2003-02-18,1.07
AMZN,2003-02-19,1.06
AMZN,2003-02-20,1.068
AMZN,2003-02-21,1.089
AMZN,2003-02-24,1.089
AMZN,2003-02-25,1.094
AMZN,2003-02-26,1.082
AMZN,2003-02-27,1.081
AMZN,2003-02-28,1.101
AMZN,2003-03-03,1.091
AMZN,2003-03-04,1.114
AMZN,2003-03-05,1.121
AMZN,2003-03-06,1.135
AMZN,2003-03-07,1.148
AMZN,2003-03-10,1.144
AMZN,2003-03-11,1.139
AMZN,2003-03-12,1.168
AMZN,2003-03-13,1.221
AMZN,2003-03-14,1.236
AMZN,2003-03-17,1.328
AMZN,2003-03-18,1.339
AMZN,2003-03-19,1.327
AMZN,2003-03-20,1.373
AMZN,2003-03-21,1.397
AMZN,2003-03-24,1.312
AMZN,2003-03-25,1.345
AMZN,2003-03-26,1.388
AMZN,2003-03-27,1.389
AMZN,2003-03-28,1.359
AMZN,2003-03-31,1.302
AMZN,2003-04-01,1.277
AMZN,2003-04-02,1.319
AMZN,2003-04-03,1.333
AMZN,2003-04-04,1.311
AMZN,2003-04-07,1.341
AMZN,2003-04-08,1.326
AMZN,2003-04-09,1.253
AMZN,2003-04-10,1.284
AMZN,2003-04-11,1.288
AMZN,2003-04-14,1.253
AMZN,2003-04-15,1.257
AMZN,2003-04-16,1.219
AMZN,2003-04-17,1.249
AMZN,2003-04-21,1.263
AMZN,2003-04-22,1.279
AMZN,2003-04-23,1.272
AMZN,2003-04-24,1.256
AMZN,2003-04-25,1.449
AMZN,2003-04-28,1.456
AMZN,2003-04-29,1.445
AMZN,2003-04-30,1.435
AMZN,2003-05-01,1.433
AMZN,2003-05-02,1.472
AMZN,2003-05-05,1.498
AMZN,2003-05-06,1.544
AMZN,2003-05-07,1.535
AMZN,2003-05-08,1.523
AMZN,2003-05-09,1.548
AMZN,2003-05-12,1.585
AMZN,2003-05-13,1.648
AMZN,2003-05-14,1.63
AMZN,2003-05-15,1.632
AMZN,2003-05-16,1.652
AMZN,2003-05-19,1.578
AMZN,2003-05-20,1.574
AMZN,2003-05-21,1.588
AMZN,2003-05-22,1.65
AMZN,2003-05-23,1.636
AMZN,2003-05-27,1.743
AMZN,2003-05-28,1.743
AMZN,2003-05-29,1.777
AMZN,2003-05-30,1.795
AMZN,2003-06-02,1.77
AMZN,2003-06-03,1.761
AMZN,2003-06-04,1.77
AMZN,2003-06-05,1.776
AMZN,2003-06-06,1.668
AMZN,2003-06-09,1.684
AMZN,2003-06-10,1.704
AMZN,2003-06-11,1.733
AMZN,2003-06-12,1.76
AMZN,2003-06-13,1.707
AMZN,2003-06-16,1.792
AMZN,2003-06-17,1.792
